"lineage","lineagegroup"
"BA.2.3.9","BA.2.X"
"BA.2.40","BA.2.X"
"BA.5.1.2","BA.5"
"BA.5.3","BA.5"
"BA.5.6","BA.5"
"BA.4.6","BA.4"
"BG.3","BA.2.X"
"XAG","Omicron"
"BA.2.64","BA.2.X"
"BA.5.2.3","BA.5"
"BA.5.1.1","BA.5"
"XC","Other"
"BF.5","BA.5"
"BA.2.9.3","BA.2.X"
"BA.5.3.3","BA.5"
"BA.5.2.4","BA.5"
"BA.2.38.2","BA.2.38"
"BA.2.62","BA.2.X"
"BA.2.52","BA.2.X"
"AY.35","Delta"
"BA.4.1.8","BA.4"
"BF.10","BA.5"
"BF.3.1","BA.5"
"BA.2.49","BA.2.X"
"BF.8","BA.5"
"BA.5.2.2","BA.5"
"BA.2.10.4","BA.2.10"
"BA.2.75.2","BA.2.75"
"BA.2.75.1","BA.2.75"
"BH.1","BA.2.38"
"BJ.1","BA.2.10"
"XAP","Omicron"
"BA.2.38.3","BA.2.38"
"BA.5.1.10","BA.5"
"BA.2.76.1","BA.2.X"
"BF.12","BA.5"
"BG.2","BA.2.12"
"BA.5.8","BA.5"
"BA.4.7","BA.4"
"BA.5.2.26","BA.5"
"BA.2.31.1","BA.2.X"
"BA.5.2.6","BA.5"
"BA.2.9.5","BA.2.X"
"B.55","Other"
"BM.4","BA.2.75"
"BA.5.2.21","BA.5"
"BL.1.1","BA.2.75"
"BA.5.1.24","BA.5"
"BA.2.75.5","BA.2.75"
"BN.1","BA.2.75"
"XAS","Omicron"
"XAQ","Omicron"
"BM.1.1.1","BA.2.75"
"BF.23","BA.5"
"BA.5.1.12","BA.5"
"BA.5.1.25","BA.5"
"BA.4.1.5","BA.4"
"BL.4","BA.2.75"
"BF.27","BA.5"
"BA.5.2.27","BA.5"
"BF.21","BA.5"
"BA.2.83","BA.2.X"
"BA.2.75.6","BA.2.75"
"BF.24","BA.5"
"BN.2","BA.2.75"
"BL.3","BA.2.75"
"BA.5.2.28","BA.5"
"BR.3","BA.2.75"
"BM.5","BA.2.75"
"BA.2.75.9","BA.2.75"
"BA.5.1.17","BA.5"
"BA.5.2.8","BA.5"
"BF.20","BA.5"
"BE.4.1","BA.5"
"BA.5.1.23","BA.5"
"BA.4.8","BA.4"
"BL.2","BA.2.75"
"BM.2","BA.2.75"
"BF.26","BA.5"
"AY.70","Delta"
"BA.5.1.22","BA.5"
"BA.5.2.31","BA.5"
"BL.1.3","BA.2.75"
"BM.1","BA.2.75"
"BF.15","BA.5"
"CE.1","BA.5"
"BA.5.2.30","BA.5"
"CA.2","BA.2.75"
"BA.5.2.22","BA.5"
"BA.2.75.7","BA.2.75"
"B.1.22","Other"
"BA.2.75.4","BA.2.75"
"BA.2.63","BA.2.X"
"BA.4.1.9","BA.4"
"BA.2.82","BA.2.X"
"BL.1","BA.2.75"
"BA.5.2.33","BA.5"
"BY.1","BA.2.75"
"BA.5.2.18","BA.5"
"B.1.240","Other"
"B.1.1.164","Other"
"B.1.1.28","Other"
"BQ.1","BQ"
"BF.7","BF.7"
"B.1.1.166","Other"
"BA.1.14.2","BA.1.X"
"BA.4.6.1","BA.4"
"BM.4.1","BA.2.75"
"BA.4.1.6","BA.4"
"BR.1","BA.2.75"
"BF.28","BA.5"
"BA.5.2.19","BA.5"
"BA.2.75.3","BA.2.75"
"BA.5.2.16","BA.5"
"BA.5.2.24","BA.5"
"BM.4.1.1","BA.2.75"
"BA.5.2.9","BA.5"
"BE.1.1.2","BA.5"
"BF.18","BA.5"
"BA.5.2.20","BA.5"
"BE.4","BA.5"
"CB.1","BA.2.75"
"BM.1.1","BA.2.75"
"BF.6","BA.5"
"BA.2.71","BA.2.X"
"BA.2.3.20","BA.2.X"
"XBB","XBB"
"XBB.1","XBB"
"BA.5.9","BA.5"
"BA.2.13.1","BA.2.X"
"BN.2.1","BA.2.75"
"BL.1.2","BA.2.75"
"XBD","BA.2.75"
"CA.4","BA.2.75"
"CA.3","BA.2.75"
"BM.2.1","BA.2.75"
"BA.4.6.3","BA.4"
"XBB.2","XBB"
"BM.1.1.3","BA.2.75"
"XBB.3","XBB"
"BY.1.1","BA.2.75"
"BN.1.2","BA.2.75"
"CH.1.1","BA.2.75"
"BN.5","BA.2.75"
"BN.6","BA.2.75"
"BM.2.3","BA.2.75"
"BN.3","BA.2.75"
"BN.1.4","BA.2.75"
"XBB.4","XBB"
"BN.1.1","BA.2.75"
"CM.2","BA.2.X"
"CH.2","BA.2.75"
"BA.2.75.10","BA.2.75"
"XBB.5","XBB"
"BM.6","BA.2.75"
"CA.6","BA.2.75"
"BY.1.2","BA.2.75"
"CH.1","BA.2.75"
"BN.1.3","BA.2.75"
"XBB.3.1","XBB"
"BN.1.6","BA.2.75"
"BF.11.5","BA.5"
"BL.1.4","BA.2.75"
"BR.4","BA.2.75"
"XAM","Omicron"
"BA.2.38.4","BA.2.38"
"BN.1.3.1","BA.2.75"
"XBB.1.3","XBB"
"BR.1.2","BA.2.75"
"XBB.1.4","XBB"
"CJ.1","BA.2.75"
"BN.1.5","BA.2.75"
"XM","Omicron"
"XU","Omicron"
"BQ.1.5","BQ"
"BQ.1.14","BQ"
"BQ.1.1","BQ"
"BQ.1.1.5","BQ"
"BQ.1.9","BQ"
"BQ.1.1.13","BQ"
"BQ.1.1.15","BQ"
"BF.7.12","BF.7"
"XBB.1.5","XBB"
"BQ.1.2","BQ"
"BQ.1.1.4","BQ"
"BR.2.1","BA.2.75"
"BQ.1.1.18","BQ"
"BQ.1.23","BQ"
"BF.7.5.1","BF.7"
"BQ.1.1.7","BQ"
"CH.1.1.1","BA.2.75"
"CL.1","BA.5"
"CH.3","BA.2.75"
"BQ.1.25","BQ"
"BQ.1.1.1","BQ"
"BF.7.4.1","BF.7"
"BE.1.2","BA.5"
"BQ.1.12","BQ"
"BQ.1.10","BQ"
"BA.5.1.18","BA.5"
"BN.1.1.1","BA.2.75"
"BQ.1.8","BQ"
"BN.4","BA.2.75"
"BM.2.2","BA.2.75"
"BF.7.4","BF.7"
"BQ.1.1.22","BQ"
"CK.1","BA.5"
"BA.5.2.34","BA.5"
"XBB.1.1","XBB"
"CK.3","BA.5"
"BA.5.1.28","BA.5"
"BQ.1.19","BQ"
"BQ.1.1.3","BQ"
"BQ.1.8.2","BQ"
"CR.1","BA.5"
"BA.5.2.42","BA.5"
"BA.5.2.25","BA.5"
"XBH","Omicron"
"BF.34","BA.5"
"BA.2.51","BA.2.X"
"BF.31","BA.5"
"CM.3","BA.2.X"
"BA.5.1.8","BA.5"
"BF.14","BA.5"
"BA.5.2.12","BA.5"
"CP.1","BA.5"
"BE.1.4","BA.5"
"BM.3","BA.5"
"BV.2","BA.5"
"CP.6","BA.5"
"BA.5.2.38","BA.5"
"BA.5.2.36","BA.5"
"BA.5.1.30","BA.5"
"BE.5","BA.5"
"BL.5","BA.2.75"
"AY.4.11","Delta"
"BA.5.11","BA.5"
"CR.2","BA.5"
"BA.4.6.5","BA.4"
"BA.5.2.44","BA.5"
"BA.5.2.37","BA.5"
"BY.1.1.1","BA.2.75"
"BA.5.2.41","BA.5"
"BA.5.1.15","BA.5"
"B.1.1.89","Other"
"BA.2.48","BA.2.X"
"BQ.1.13","BQ"
"BQ.1.10.1","BQ"
"BQ.1.15","BQ"
"BF.7.6","BF.7"
"BQ.1.24","BQ"
"BA.5.2.48","BA.5"
"XBF","Omicron"
"CM.12","BA.2.X"
"XBB.1.2","XBB"
"XBB.1.9","XBB"
"BF.7.15","BF.7"
"BQ.1.1.32","BQ"
"XBB.1.9.1","XBB"
"XAY.2","Omicron"
"CJ.1.1","BA.2.75"
"B.1.1.355","Other"
"BM.1.1.4","BA.2.75"
"XBB.2.1","XBB"
"CH.1.1.3","BA.2.75"
"BQ.1.1.2","BQ"
"XBB.2.3","XBB.2.3"
"BW.1.1","BA.5"
"XBB.1.11.1","XBB"
"BQ.1.1.45","BQ"
"XBB.1.9.2","XBB"
"XBL","XBB"
"BQ.1.3","BQ"
"BQ.1.1.38","BQ"
"XBB.1.5.5","XBB"
"BQ.1.1.8","BQ"
"DF.1","BA.5"
"XBB.2.4","XBB"
"BQ.1.13.1","BQ"
"BQ.1.1.35","BQ"
"BQ.1.1.52","BQ"
"XBB.1.5.8","XBB"
"XBB.1.16","XBB.1.16"
"XBB.1.5.7","XBB"
"XBP","XBB"
"XBB.1.11","XBB"
"XBB.1.5.4","XBB"
"XBN","Omicron"
"EF.1","BA.5"
"BQ.1.1.64","BQ"
"XBB.1.16.1","XBB.1.16"
"XBB.1.13","XBB"
"XBB.1.5.1","XBB"
"CM.2.1","BA.2.X"
"XBB.1.5.12","XBB"
"XBB.2.3.2","XBB.2.3"
"XBB.1.5.18","XBB"
"XBB.1.5.39","XBB"
"XBB.1.5.15","XBB"
"EG.1","XBB"
"XBB.1.5.13","XBB"
"XBB.1.22.1","XBB"
"XBB.1.5.32","XBB"
"XBB.1.5.3","XBB"
"XBB.1.22","XBB"
"XBB.1.5.28","XBB"
"XBB.1.5.23","XBB"
"XBB.1.5.16","XBB"
"XBB.1.5.38","XBB"
